"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24271.9404205267","","","","","","","",
"Afghanistan","AFG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","364.570572951991","376.758714204473","364.095436021804","389.416357791097","397.985904741902","440.368155343632","444.950137932355","524.823533211573","553.300289383064","569.233387721432","630.427412567377","633.658411261349","630.320014024333","620.056524923558","617.889972359248","",
"Angola","AGO","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","2574.05124282689","2570.52950597457","2700.11403053257","2778.09323227535","2715.32768725268","2630.62357296297","2519.96606028","2271.02950042539","1654.53708916369","1658.31009384044","1775.89946124641","1919.2117663338","2015.01392153344","2094.47852756743","2101.94533402433","2100.57238329504","2119.32593151743","1906.08657987112","1936.59966053262","2071.90526529851","2364.194266479","2754.41363654165","3258.47527880092","3578.8728059932","3536.79829568814","3529.05348173757","3538.71568511348","3591.02743812173","3702.59918011167","3747.56835973634","3730.16906279479","3582.64756234992","",
"Albania","ALB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2110.63321786369","2187.64280609897","2205.05294417041","2182.63191793138","2110.44142829518","2104.30858368632","2180.37209056524","2120.42283887392","2051.243570188","2193.2638245449","1947.8835449081","1379.8169783237","1288.25896491087","1420.57328795871","1547.95435292012","1764.69929632752","1937.29007198088","1738.16646043428","1906.71726144227","2177.89663307357","2337.94238637131","2547.37731608619","2663.14047692587","2827.45577750698","3001.40861793159","3189.39511117692","3383.89372561197","3610.72755370642","3775.38098775973","3928.33863824236","4094.35883191918","4210.08219850607","4276.92155019231","4327.64451802716","4413.56158290959","4524.99099289005","4684.96703402035","",
"Andorra","AND","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","42137.5189947395","41883.1412123491","43051.2231750558","44201.7280770732","44648.3822216412","43158.00760544","43079.8158044325","42958.8938568115","42339.3340715661","41041.8667765521","40495.698015877","38896.6259416659","37756.4209028065","36776.5149572427","35820.9317453704","35095.9925402225","34744.3924512447","35204.9894579815","35546.6495470777","35831.6208246801","35780.5196725988","35291.7114092924","34278.6471002551","32766.0596707401","32633.8251274783","32917.6488213571","34175.2600684125","37293.2824132908","38595.7232096964","40035.4824490851","40801.5421300322","41420.8461776969","42396.3023980284","45519.4923839434","47032.8668884706","48831.9293599384","49708.4004893013","48710.6646202996","43900.9517028654","41979.8659013974","39736.3540626699","38205.7710887919","38190.5865853723","39104.301849019","40785.0492283396","41765.9203531235","42681.6038239666","",
"Arab World","ARB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","4087.66261365592","4591.38905426988","4822.60743799985","4628.39487936205","4997.77182994025","5280.43379284201","5252.33422518717","4632.7291692769","4197.02627471432","4115.0589652644","3907.28222666784","3963.09192514007","3825.8748342965","3926.61036826823","3899.97357956952","4256.43009588647","4207.43892901241","4330.27479553712","4353.14750415371","4381.20948187786","4367.87669564","4461.78546823409","4548.66923405841","4681.27016887104","4667.69100878623","4816.71185196692","4792.81342770981","4720.23627713145","4865.99015693697","5204.49152780786","5378.43399733906","5594.94998724686","5711.7168032141","5899.76536771217","5783.52820481426","5917.57430778759","5986.82121912587","6154.62659031173","6240.65286990615","6285.52667284688","6364.67304453063","6438.04526325759","",
"United Arab Emirates","ARE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","102479.189034393","102319.727514163","107452.18038336","92822.3616039069","100480.436764231","113682.038244614","110644.551564704","97254.0615227025","87942.902687767","86936.8490892883","79439.2866285564","63832.1312517683","62248.9287498876","57136.0525999693","60523.2281305092","67606.9169233671","64386.0911209448","62821.1576886423","60133.1929557377","60932.2776417447","61818.2337791355","62294.1289696621","64176.4841609177","61231.2297229213","59845.0370389604","62833.2510712003","60434.6739832762","58707.0071667036","59867.2899395864","60042.5973540766","56199.0292674233","53926.5970978142","48260.0109053853","43658.9447787703","37203.3979933391","35049.1483168035","35550.8312723962","36408.4975478578","38064.004422593","39034.3762747338","40159.5578756588","40864.2498465749","",
"Argentina","ARG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","5605.19172213837","5815.2335573695","5675.06004288477","5290.76622217599","5738.59769021983","6251.32182035585","6120.71218384643","6226.99775509462","6434.95377674533","6954.7641154732","7056.8480638535","7335.75913605167","7329.92115775342","7407.36675350676","7685.85721205637","7559.14374920499","7291.84042863613","7681.01757078943","7227.56412439979","7849.36333967784","8052.68965458607","7478.13043222079","6996.96291844645","7154.41125458419","7198.71994194112","6550.15032295869","6958.75247038685","7053.98564085254","6772.22301661005","6173.68498096309","5939.75691560173","6598.72263482743","7285.42942771472","7612.68115329614","7952.71155173317","7630.02227409899","7955.12765176278","8500.94036184635","8728.94765116614","8339.89438868086","8182.68650230868","7735.49336439011","6816.73485537778","7337.79203783303","7913.74312362482","8522.52273238782","9112.11316338653","9830.68091982204","10125.1262721185","9428.50254117176","10276.2604977053","10780.0156577357","10557.8853892544","10699.1977159711","10323.20693976","10490.0195683235","10153.9979117337","",
"Armenia","ARM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1796.93643165951","1601.59382254967","949.033221278773","886.032785925221","956.470885506279","1043.54314093392","1121.88162869349","1172.1368024271","1267.57528264648","1317.74192343814","1404.32146204631","1548.0758512453","1761.88827204793","2019.98486736483","2244.22017070239","2571.98575552046","2933.83347842552","3366.16218732912","3629.15770214106","3136.81172720558","3218.38165488465","3371.6728305502","3606.48055353557","3710.5757426146","3827.34319548141","3935.28877242969","3932.55461733401","",
"American Samoa","ASM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10613.9115418862","10630.4536535068","10661.173537835","10644.5810685804","10282.4565949728","10619.6136467331","10500.3858391248","10199.0601502139","10352.8227618312","10442.7264995652","10000.3110739949","9711.11271653165","9779.88348722076","9884.11186605049","9614.47267179797","",
