"MEDIA TREND REPORT","","","Geography : Worldwide","","","","","","MyMetrix"
"","","","Location : All Locations","","","","","","MediaMetrix 2.0"
"","","","Time Period : June 2008 - August 2009","","","","","","(c)2009 comScore, Inc"
"","","","Target : Total Audience",
"","","","Media : 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...",
"","","","Measures : Total Unique Visitors (000)",
"","","","Date : 9/29/2009",

"Items 1 to 300","",""," Jun-2008"," Jul-2008"," Aug-2008"," Sep-2008"," Oct-2008"," Nov-2008"," Dec-2008"," Jan-2009"," Feb-2009"," Mar-2009"," Apr-2009"," May-2009"," Jun-2009"," Jul-2009"," Aug-2009",
"","","Total Internet : Total Audience ","860,514","949,583","960,198","971,945","984,396","996,304","1,007,730","1,020,582","1,078,911","1,092,598","1,108,031","1,122,331","1,135,656","1,151,381","1,165,194",
"1","[P]","Wikimedia Foundation Sites","251,502","244,326","248,539","272,109","277,208","280,969","272,998","289,811","300,751","327,148","320,043","317,255","302,940","295,484","307,641",
"2","[C]","Yahoo! Answers","142,715","146,075","149,337","152,436","153,957","143,925","144,741","155,702","163,464","177,859","178,535","170,319","165,595","173,002","178,754",
"3","[C]","Baidu Answers","37,140","60,399","69,075","73,697","74,097","68,363","71,500","64,327","71,848","69,060","70,580","78,630","81,646","87,326","93,624",
"4","[P]","Answers.com Sites","30,661","30,005","34,079","39,598","41,814","41,545","39,696","44,958","45,703","50,176","51,780","52,660","48,261","51,579","65,930",
"5","[C]","Baidu Encyclopedia","8,372","12,914","15,552","24,002","34,697","33,597","38,909","35,407","42,677","42,871","41,207","36,967","40,775","43,666","48,365",
"6","[C]","SINA iAsk","N/A","N/A","N/A","N/A","24,318","22,250","22,628","20,110","24,586","20,549","15,035","13,144","17,549","20,290","21,700",
"7","[M]","THEFREEDICTIONARY.COM (w/ history)","4,085","4,655","3,841","13,653","14,756","15,678","14,768","17,368","18,656","21,480","23,172","22,202","20,303","20,108","19,825",
"8","[M]","DICTIONARY.COM (w/ history)","14,997","14,100","16,208","21,354","21,377","19,899","19,724","21,783","20,439","21,606","21,024","20,618","17,784","17,371","18,172",
"9","[P]","Wikia Sites","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11,981","12,348","14,135","14,274","14,200","16,457","16,963",
"10","[C]","Goo Teaching","9,716","8,967","8,919","9,172","9,635","9,961","10,495","12,828","11,327","13,450","13,204","14,351","13,939","15,565","15,922",
"11","[C]","Naver.com Knowledge IN","11,916","11,526","14,632","13,582","14,785","14,269","15,294","14,945","16,208","16,162","16,546","14,900","14,388","14,954","15,266",
"12","[P]","Encyclopaedia Britannica","13,648","11,418","11,328","15,148","15,038","13,468","13,170","14,750","15,005","17,056","15,950","15,460","12,371","12,780","13,062",
"13","[P]","ASSOCIATEDCONTENT.COM","8,011","8,651","8,679","8,920","10,947","9,969","10,587","11,085","10,611","11,603","11,865","13,164","11,606","11,889","11,993",
"14","[P]","WORDREFERENCE.COM","7,116","6,133","6,479","8,633","9,152","8,716","7,912","8,588","9,805","11,148","10,822","11,389","10,268","9,312","9,947",
"15","[M]","REVERSO.NET*","6,021","4,988","5,362","7,238","8,029","7,599","6,849","7,791","8,712","10,080","9,607","11,007","10,334","9,470","9,854",
"16","[C]","Yahoo! Dictionary","10,348","10,448","10,353","10,252","9,678","10,351","10,037","11,055","10,343","10,890","11,155","11,245","10,676","10,750","9,563",
"17","[M]","HOWSTUFFWORKS.COM","8,011","7,035","6,563","7,486","8,249","7,299","7,972","9,182","8,703","10,149","9,895","9,732","7,901","8,662","8,780",
"18","[P]","URBANDICTIONARY.COM","5,157","5,413","5,000","5,238","5,941","5,431","6,100","6,323","6,515","7,472","7,980","7,454","7,066","8,056","8,199",
"19","[M]","ICIBA.COM","3,753","5,611","8,057","7,905","7,085","7,571","6,889","5,214","6,521","6,930","7,708","6,563","9,414","10,880","8,111",
"20","[P]","ArticlesBase.com Sites","1,220","1,656","1,593","2,374","2,493","2,606","2,874","4,434","4,506","4,970","4,790","4,223","4,739","6,311","6,441",
"21","[C]","ANSWERBAG.COM*","N/A","N/A","N/A","N/A","N/A","6,440","5,853","6,910","6,337","6,884","6,570","6,854","5,660","6,209","6,075",
"22","[P]","ARCHIVE.ORG","3,402","3,469","3,349","3,395","3,897","4,011","4,158","4,597","4,757","5,753","5,681","5,359","5,386","5,743","6,039",
"23","[C]","Mail.Ru - Answers","1,966","2,568","2,876","3,779","3,571","3,709","4,359","4,644","3,865","4,306","4,308","3,859","3,892","4,709","5,951",
