Media Trend,,,Geography :,Geography :,Worldwide,Worldwide,Worldwide,Worldwide,Worldwide,,,,,,,,
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,Location :,Location :,Home and Work,Home and Work,Home and Work,Home and Work,Home and Work,,,,,,,,
,,,Time Period :,Time Period :,April 2010 - June 2011,April 2010 - June 2011,April 2010 - June 2011,April 2010 - June 2011,April 2010 - June 2011,,,,,,,,
,,,Target :,Target :,Total Audience,Total Audience,Total Audience,Total Audience,Total Audience,,"©2011 comScore, Inc","©2011 comScore, Inc","©2011 comScore, Inc",,,,
,,,Media :,Media :,"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,,,,,,
,,,Measures :,Measures :,Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),,,,,,,,
,,,Date :,Date :,7/26/2011,7/26/2011,7/26/2011,7/26/2011,7/26/2011,,,,,,,,
,,,,,,,,,,,,,,,,,
Media/Measures,Media/Measures,Media/Measures,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011
,,    Total Internet : Total Audience ,"1,231,777","1,244,104","1,253,406","1,261,762","1,285,378","1,294,784","1,304,632","1,313,926","1,323,535","1,333,403","1,339,496","1,350,539","1,362,369","1,373,976","1,383,098"
1,[P],    Google Sites,"921,153","931,583","942,199","952,484","971,045","976,431","976,693","970,109","972,486","985,289","976,374","996,706","990,970","1,009,699","1,023,643"
2,[P],    Microsoft Sites,"728,546","789,035","799,898","800,636","814,562","827,496","840,677","869,373","867,914","889,163","837,039","895,813","892,893","905,454","882,818"
3,[P],    FACEBOOK.COM,"519,076","548,134","550,939","571,480","598,084","620,269","633,548","647,482","662,420","675,361","676,733","692,998","697,970","713,647","734,240"
4,[P](u),    Yahoo! Sites,"588,305","622,343","620,796","621,898","631,803","629,981","632,993","630,275","627,523","639,715","659,277","679,738","676,356","689,105","671,573"
5,[P],    Wikimedia Foundation Sites,"374,846","388,932","379,112","360,225","373,392","398,178","408,350","410,816","395,472","413,957","379,415","400,011","380,716","411,061","399,362"
6,[P](u),    Amazon Sites,"222,873","228,083","221,785","230,554","237,156","234,334","245,082","252,698","263,450","258,169","233,765","271,264","268,611","284,321","282,233"
7,[P],    Apple Inc.,"212,251","213,166","213,671","212,905","219,498","226,129","227,768","228,285","240,557","236,347","221,271","234,944","228,366","244,182","246,889"
8,[P](U),"    AOL, Inc.","263,704","266,787","255,895","248,233","221,158","218,426","232,439","239,205","239,550","243,275","229,394","247,697","237,258","238,860","231,564"
9,[P],    TENCENT Inc.,"173,092","175,771","177,789","182,572","191,021","197,617","204,266","211,656","215,211","208,512","207,793","214,254","216,190","220,707","229,175"
10,[P],    eBay,"253,924","252,803","217,671","217,586","222,435","221,574","222,283","229,915","225,280","226,079","211,945","218,809","215,085","225,893","223,520"
11,[P],    Baidu.com Inc.,"174,710","180,965","174,672","179,920","181,984","184,728","185,318","184,703","185,005","190,956","192,845","202,995","201,227","211,060","215,086"
12,[P](u),    CBS Interactive,"204,916","211,496","204,162","209,288","214,875","223,388","222,329","229,265","221,362","226,135","210,949","234,656","217,686","220,230","214,019"
13,[P](u),    Ask Network,"223,251","215,039","208,313","211,622","216,371","221,821","225,397","233,155","233,444","234,884","220,019","236,956","220,341","224,060","212,548"
14,[P](u),    Glam Media,"163,918","164,189","167,420","173,248","186,414","179,892","181,888","197,937","196,886","202,299","194,173","204,134","200,186","213,528","203,630"
15,[P],    Sohu.com Inc.,"87,560","92,687","141,924","148,037","151,068","155,256","157,870","161,682","165,027","172,126","170,043","177,534","178,930","182,179","189,558"
16,[P](u),    Viacom Digital,"104,191","106,744","107,604","114,632","160,606","170,490","172,641","174,084","178,493","184,754","169,803","163,349","175,968","183,431","185,122"
17,[P],    BitTorrent Network,"91,145","95,586","98,305","103,359","107,261","113,999","123,415","128,354","133,164","137,865","136,015","142,495","145,982","156,067","164,101"
18,[P],    Alibaba.com Corporation,"118,156","121,047","116,898","119,716","123,509","130,213","133,634","131,631","124,680","124,453","114,887","132,534","144,488","152,501","156,780"
19,[P],    WordPress,"157,881","166,638","165,581","152,680","127,530","136,953","148,133","147,510","137,226","141,605","137,720","149,736","141,917","158,032","150,784"
20,[P],    TWITTER.COM,"83,629","90,220","92,804","94,813","95,915","101,902","104,617","102,980","104,995","113,216","112,229","129,439","123,035","139,213","144,441"
21,[P](u),    NetShelter Technology Media,"113,104","127,533","124,655","128,768","133,820","136,347","143,330","151,455","149,696","154,827","142,908","150,348","137,498","139,254","135,513"
22,[P],    Adobe Sites,"129,969","127,339","142,179","140,194","137,103","144,544","144,307","136,191","131,826","129,903","127,795","160,625","132,567","139,968","135,014"
23,[P](u),    Turner Digital,"115,407","121,489","116,046","118,083","118,324","113,922","123,307","126,889","126,974","132,702","128,958","152,103","136,777","147,542","134,020"
24,[P],    SINA Corporation,"110,024","110,364","111,177","115,536","114,102","112,464","106,577","106,420","101,202","108,153","104,736","116,166","114,371","125,533","129,116"
25,[P],    The Mozilla Organization,"178,374","99,868","153,074","177,820","119,782","142,184","152,646","121,534","124,889","95,529","82,655","134,863","100,668","145,477","117,557"
26,[P](u),    Technorati Media,"80,785","91,715","88,865","96,512","98,485","114,037","113,134","121,197","116,572","121,987","112,730","122,858","118,697","118,362","110,839"
27,[P](u),    New York Times Digital,"99,015","121,397","115,346","113,786","115,427","119,115","125,058","121,865","117,389","123,193","111,113","128,726","107,800","115,279","107,815"
28,[P](u),    DAILYMOTION.COM,"49,183","62,024","63,545","65,741","70,231","73,519","89,176","83,308","83,224","85,922","92,168","109,601","110,552","114,292","101,929"
29,[P](u),    Fox Interactive Media,"164,719","164,232","156,838","152,425","149,145","149,645","123,007","113,413","110,651","107,900","95,278","99,059","104,867","106,234","97,266"
30,[P](U),    Demand Media,"81,888","86,707","86,277","91,851","92,652","94,233","100,835","105,463","108,409","122,101","116,041","124,125","110,435","103,812","96,467"
31,[P](u),    Federated Media Publishing,"63,831","71,167","71,853","71,399","72,958","75,718","78,617","81,664","83,530","82,125","75,948","85,491","85,344","93,250","94,062"
32,[P](u),    Terra - Telefonica,"60,319","73,099","74,653","75,816","74,726","80,507","83,101","82,482","86,936","88,688","85,461","92,590","91,273","93,018","91,737"
33,[P],    NetEase.com Inc.,"83,165","84,495","83,472","84,436","87,344","89,923","83,449","83,249","79,119","79,670","75,825","86,075","80,456","89,643","88,900"
34,[P],    Expedia Inc,"69,377","73,344","74,991","87,151","84,179","73,686","67,007","63,699","60,770","78,144","72,338","75,452","76,130","80,012","86,378"
35,[P](U),    LINKEDIN.COM,"43,488","45,110","45,373","49,661","53,438","56,747","59,804","69,656","65,775","74,495","71,524","79,215","74,845","86,074","84,356"
36,[P],    Youku Inc.,"66,822","73,582","75,448","55,798","83,917","79,111","77,754","70,560","65,829","75,542","71,936","77,425","68,592","77,739","83,037"
37,[P],    MEGAUPLOAD.COM,"62,878","66,827","67,033","70,677","72,949","75,262","77,778","77,145","83,740","75,388","70,290","75,408","74,894","80,298","80,723"
38,[P],    4SHARED.COM,"59,582","61,747","66,903","68,229","70,301","74,774","78,018","78,626","78,872","79,629","74,007","75,906","76,149","82,695","80,610"
39,[P],    Oak Pacific Interactive Sites,"45,349","52,322","49,854","49,003","50,666","44,777","42,994","45,710","44,631","47,522","44,751","52,534","59,437","72,664","74,031"
40,[P](U),    Answers.com Sites,"72,044","71,924","68,465","68,301","68,976","78,510","83,763","95,729","86,847","94,594","91,449","98,716","87,301","88,487","71,866"
41,[P](u),    Break Media,"68,312","75,231","77,131","74,378","74,178","71,185","78,891","83,010","81,504","83,285","72,279","74,696","70,203","72,789","70,860"
42,[P],    Xunlei Networking,"77,236","69,665","69,507","67,411","76,929","73,243","70,523","67,566","66,279","73,576","62,518","57,612","49,946","51,057","69,449"
43,[P],    Tudou Sites,"61,949","65,446",N/A,"69,529","73,979","68,878","65,817","62,761","58,706","63,564","59,870","62,696","58,747","66,498","67,723"
44,[P],    Orange Sites,"59,487","66,130","62,944","59,282","62,807","67,618","67,987","68,421","60,598","63,211","62,162","66,043","66,989","70,685","67,491"
45,[P],    Sony Online,"63,024","68,299","70,644","70,781","66,131","64,137","64,202","65,672","69,364","66,393","59,487","63,402","58,923","67,799","66,787"
46,[P],    MEDIAFIRE.COM,"44,034","47,408","47,402","49,962","52,767","53,096","56,561","54,765","55,540","59,252","55,063","59,004","60,504","65,839","66,403"
47,[P](u),    Axel Springer AG,"25,711","27,016","27,355","28,138","28,562","27,652","28,306","28,510","28,843","29,914","27,783","69,817","65,524","56,997","65,630"
48,[P](u),    BBC Sites,"57,652","64,948","64,876","61,831","61,535","62,925","65,270","66,155","66,305","67,469","65,659","80,594","71,434","74,281","65,593"
49,[P],    Yandex Sites,"38,362","39,929","47,707","48,793","50,559","51,717","53,022","54,283","56,421","57,497","57,163","58,814","58,751","60,543","61,976"
50,[P],    Real.com Network,"68,679","67,479","64,778","67,976","62,090","58,169","58,895","61,475","60,894","58,475","50,761","55,748","51,382","59,147","61,792"
51,[P],"    PPStream, Inc.","38,012","41,435","44,038","46,022","48,514","49,903","54,516","52,879","51,162","57,085","58,746","57,939","57,789","60,718","61,329"
52,[P],    Vkontakte,"31,739","35,995","46,875","47,526","39,372","43,716","47,917","51,443","50,518","54,354","56,703","50,899","51,652","57,869","61,035"
53,[P](u),    ESPN,"42,268","43,570","51,984","43,204","42,017","60,228","62,087","63,013","61,980","63,027","59,227","75,225","64,948","60,604","59,149"
54,[P],    Rakuten Inc,"43,060","43,764","47,718","47,062","47,583","46,505","46,377","62,455","59,747","59,608","56,701","57,528","55,379","60,840","57,785"
55,[P](u),    Comcast Corporation,"48,427","59,763","52,967","53,762","51,979","50,263","51,658","54,542","63,590","61,429","52,936","53,713","53,734","54,476","57,098"
56,[P],"    craigslist, inc.","52,611","54,067","53,607","56,139","56,452","54,263","53,971","52,499","54,839","57,292","53,339","53,840","51,731","55,182","56,784"
57,[P],    Spil Games,"48,836","52,570","53,251","56,969","58,612","52,087","50,578","51,869","56,593","55,993","49,898","49,854","50,679","52,057","56,028"
58,[P],    Gretech Corp.,"18,647","17,392","16,233","17,628","19,094","18,635","18,451","51,113","50,193","52,282","49,189","51,251","51,551","54,515","55,496"
59,[P](u),    Gannett Sites,"45,923","45,687","42,889","44,689","42,759","47,258","47,713","50,616","47,942","51,387","49,738","54,487","53,589","56,973","53,509"
60,[P],    FC2 inc.,"43,375","44,382","44,444","44,732","44,569","45,778","47,014","46,826","48,028","48,741","46,484","48,382","47,586","50,745","51,493"
61,[P],    Deutsche Telekom,"52,102","53,772","52,976","50,904","51,535","50,119","49,747","50,328","48,797","49,963","48,264","49,571","47,138","50,472","49,193"
62,[P],    FILESTUBE.COM,"37,972","32,265","35,451","38,658","38,984","39,910","45,232","44,945","40,994","40,205","33,075","38,028","41,168","48,563","49,158"
63,[P],    BABYLON.COM,"15,165","16,228","19,066","22,921","25,764","28,351","31,559","33,139","35,756","39,205","37,763","42,589","40,310","48,634","49,031"
64,[P](U),    Photobucket.com LLC,"50,267","54,013","54,319","57,289","54,115","52,821","54,101","59,396","59,041","58,244","52,934","56,592","54,100","54,442","48,309"
65,[P],    KuGou Inc.,"35,224","36,657","34,101","31,724","32,298","32,562","33,631","32,701","33,983","39,702","39,959","44,818","43,509","47,424","48,141"
66,[P](u),    UOL,"29,820","30,903","30,318","30,254","30,792","31,668","39,997","41,069","41,815","42,541","41,286","44,602","46,072","46,594","47,153"
67,[P],    Groupe Lagardere,"42,679","44,046","42,307","40,414","41,297","42,486","44,313","46,414","44,101","45,416","41,843","45,039","46,473","46,521","47,076"
68,[P],    Priceline.com Incorporated,"32,179","36,365","37,400","42,906","40,310","34,305","30,490","28,505","26,852","33,984","34,065","36,281","34,949","40,914","46,751"
69,[P],    Disney Online,"43,266","44,053","42,843","49,043","44,479","41,768","41,615","44,921","45,011","40,303","37,259","37,539","37,051","42,310","46,272"
70,[P](u),"    Monster, Inc.","37,159","38,230","38,018","36,861","42,487","47,326","46,444","48,610","43,183","50,463","47,039","49,499","44,671","46,443","45,896"
71,[P],    OLX Inc.,"35,512","33,046","38,260","38,733","39,772","41,774","43,062","43,335","38,872","44,671","41,429","45,255","42,336","47,105","45,171"
72,[P],    Wal-Mart,"41,395","43,390","43,738","45,698","45,421","44,497","45,407","62,641","63,086","47,430","40,243","40,446","40,750","42,803","44,650"
73,[P],"    Weather Channel, The","45,991","47,920","48,198","47,662","44,434","43,431","42,183","42,511","50,925","48,627","46,299","42,991","44,322","45,535","44,641"
74,[P](u),    iVillage.com: The Womens Network,"45,101","47,469","46,895","44,782","46,906","45,569","46,427","45,748","42,841","43,696","39,364","43,727","40,678","41,091","44,209"
75,[P](u),    Metacafe,"39,040","40,193","39,704","48,000","47,241","46,296","47,561","48,609","49,214","49,035","44,864","47,043","45,853","47,078","44,154"
76,[P],    RapidShare AG,"70,921","70,823","70,668","68,169","68,708","67,339","64,792","60,768","57,790","57,364","51,591","52,396","47,485","46,578","43,961"
77,[P](u),    Alloy Digital Network,"38,779","39,937","39,117","38,051","40,067","47,533","59,597","68,429","71,181","69,684","44,679","43,569","40,105","37,516","42,761"
