Media Trend,,,Geography :,Geography :,Worldwide,Worldwide,Worldwide,Worldwide,Worldwide,,,,,,,,
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,Location :,Location :,All Locations,All Locations,All Locations,All Locations,All Locations,,,,,,,,
,,,Time Period :,Time Period :,January 2009 - March 2010,January 2009 - March 2010,January 2009 - March 2010,January 2009 - March 2010,January 2009 - March 2010,,,,,,,,
,,,Target :,Target :,Total Audience,Total Audience,Total Audience,Total Audience,Total Audience,,"©2010 comScore, Inc","©2010 comScore, Inc","©2010 comScore, Inc",,,,
,,,Media :,Media :,"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,,,,,,
,,,Measures :,Measures :,Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),,,,,,,,
,,,Date :,Date :,4/16/2010,4/16/2010,4/16/2010,4/16/2010,4/16/2010,,,,,,,,
,,,,,,,,,,,,,,,,,
Media/Measures,Media/Measures,Media/Measures,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009,Jun-2009,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010
,,    Total Internet : Total Audience ,"1,020,582","1,078,911","1,092,598","1,108,031","1,122,331","1,135,656","1,151,381","1,165,194","1,179,318","1,190,151","1,206,051","1,222,237","1,237,448","1,203,547","1,219,389"
1,[P],    Google Sites,"771,553","816,983","830,663","845,623","840,410","844,245","853,820","867,618","879,176","891,949","889,522","899,426","919,720","883,498","907,371"
2,[P],    Microsoft Sites,"632,548","675,272","692,479","690,986","682,205","691,362","701,834","707,803","717,910","732,862","730,348","727,410","734,177","734,981","757,017"
3,[P],    Yahoo! Sites,"558,114","578,479","594,149","590,301","570,250","581,337","591,758","595,983","602,610","605,544","601,503","594,349","598,881","558,892","585,632"
4,[P],    FACEBOOK.COM,"236,292","275,642","294,675","307,101","316,000","340,011","369,551","389,525","410,953","430,209","438,146","468,708","471,447","462,682","484,209"
5,[P],    Wikimedia Foundation Sites,"289,811","300,751","327,148","320,043","317,255","302,940","295,484","307,641","325,998","344,563","345,805","347,020","364,719","345,218","370,744"
6,[P](u),    AOL LLC,"271,016","276,793","285,517","290,751","286,826","279,556","268,383","260,547","255,088","258,392","256,386","268,197","267,055","255,999","262,514"
7,[P],    eBay,"231,552","234,560","250,156","246,147","238,148","233,483","236,819","243,335","239,634","243,461","246,712","262,746","259,866","241,811","255,651"
8,[P],    Amazon Sites,"188,202","183,003","194,928","192,441","188,602","185,035","197,306","200,671","201,904","212,204","223,851","240,584","244,658","224,564","230,804"
9,[P],    Ask Network,"164,191","164,566","172,552","169,916","171,613","173,766","191,752","189,937","207,555","209,779","213,975","215,730","227,804","214,937","225,365"
10,[P](u),    CBS Interactive,"180,319","185,642","202,560","192,200","185,351","185,679","195,695","194,036","195,794","201,899","201,809","211,360","211,785","190,589","210,468"
11,[P],    Apple Inc.,"157,639","158,272","170,395","167,912","166,754","173,022","177,227","176,468","183,163","187,991","192,620","209,500","204,258","190,382","201,406"
12,[P],    TENCENT Inc.,"156,047","155,603","154,583","154,478","148,169","152,192","146,398","145,701","149,803","151,019","152,325","153,376","156,423","168,183","172,822"
13,[P],    Baidu.com Inc.,"147,419","147,589","147,281","147,447","152,087","148,322","145,361","145,573","147,472","152,490","152,398","152,199","157,107","163,041","169,952"
14,[P],    Fox Interactive Media,"173,366","175,276","183,137","179,563","177,340","169,831","170,109","164,612","168,677","166,036","159,182","174,582","173,819","163,112","166,556"
15,[P](u),    Glam Media,"103,134","102,198","108,824","110,811","117,663","110,408","114,547","112,688","125,516","134,385","140,755","159,793","163,824","158,082","164,100"
16,[P],    WordPress,"120,192","126,168","144,111","143,042","145,981","137,299","140,139","137,478","141,231","151,764","154,480","159,639","161,390","144,524","159,605"
17,[P],    The Mozilla Organization,"82,643","128,380","153,830","152,229","113,431","137,198","138,866","161,893","155,889","135,902","147,930","167,697","197,403","165,047","150,599"
18,[P],    Adobe Sites,"127,543","127,087","140,950","134,270","132,617","145,847","148,608","148,378","150,206","149,878","140,052","140,011","148,064","134,055","134,960"
19,[P](u),    NetShelter Technology Media,"77,884","83,103","90,673","90,224","90,564","86,665","89,889","93,644","97,337","104,930","108,239","122,455","121,798","108,545","114,461"
20,[P](u),    Turner Network,"85,785","77,830","78,052","79,488","79,520","81,476","81,576","76,309","75,835","90,422","92,054","103,274","113,485","114,551","112,285"
21,[P],    SINA Corporation,"109,487","111,460","111,761","111,114","98,596","100,274","101,584","108,467","106,004","112,604","106,412","100,110","104,150","103,181","110,307"
22,[P],    Alibaba.com Corporation,"82,441","85,617","89,725","84,349","82,439","91,979","96,175","102,480","104,549","106,638","110,156","112,039","99,928","90,405","108,535"
