"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria                                                               ...","","","","","","My Metrix"
"Total Internet,Wikimedia Foundation Sites","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: May 2012 - May 2013","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Total Internet,Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/14/2013","","","","","",""

"","","Total Internet","","","","","","","","","","","","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013"
"1","    World-Wide","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749","521,767"
"2","    Non-US","1,296,425","1,303,225","1,310,460","1,312,452","1,318,631","1,325,051","1,331,143","1,336,044","1,340,964","1,336,647","1,363,423","1,369,661","1,375,014","409,923","390,340","371,694","374,176","390,157","403,112","401,974","390,204","403,967","400,652","431,785","431,203","437,892"
"3","    Europe","395,693","397,762","399,385","401,977","403,610","405,311","407,006","408,248","409,489","405,754","412,446","413,885","415,590","185,344","174,151","163,811","163,167","175,027","183,372","184,660","183,718","192,293","182,809","193,348","190,229","192,353"
"4","    Asia Pacific","609,985","613,116","617,114","621,165","625,283","629,258","633,296","636,571","639,872","629,711","644,393","647,683","650,054","108,087","107,603","108,690","108,428","107,902","108,013","105,964","105,288","109,258","104,931","113,263","115,045","119,197"
"5","    North America","213,349","213,267","213,189","213,687","213,529","213,909","213,903","214,908","215,342","215,482","216,660","216,649","217,054","97,378","93,676","94,146","95,824","98,992","100,152","97,462","96,966","99,277","96,653","100,735","100,633","98,666"
"6","    United States","187,957","187,956","187,954","188,463","188,298","188,359","188,412","189,457","189,931","190,121","191,374","191,117","191,510","82,470","79,303","80,127","82,080","84,708","85,252","82,516","82,348","84,506","82,348","85,825","85,546","83,875"
"7","    Latin America","133,081","133,647","134,232","129,572","129,970","130,373","130,780","131,193","131,600","144,654","147,249","148,490","149,736","58,825","54,654","49,387","52,510","54,499","55,850","54,874","45,777","47,216","60,701","68,711","69,779","69,932"
"8","    Middle East - Africa","132,274","133,390","134,494","134,516","134,537","134,559","134,570","134,581","134,592","131,167","134,050","134,070","134,090","42,759","39,560","35,788","36,327","38,445","40,977","41,530","40,802","40,429","37,906","41,553","41,062","41,620"
"9","    Japan","73,482","73,498","73,513","73,529","73,545","73,561","73,577","73,593","73,608","73,040","73,640","73,656","73,656","41,256","40,448","41,322","40,969","40,033","38,732","37,927","36,931","38,659","35,782","36,114","35,390","36,605"
"10","    Brazil","45,517","45,557","45,599","45,640","45,681","45,721","45,763","45,803","45,843","61,484","62,122","62,667","63,211","17,057","16,306","14,170","16,770","16,758","16,723","17,145","14,500","14,571","26,330","30,284","29,931","29,791"
"11","    Germany","51,714","51,825","51,936","52,044","52,150","52,299","52,373","52,448","52,523","51,770","52,701","52,773","52,858","26,324","26,296","24,943","24,939","25,752","25,911","26,277","25,708","27,610","25,957","27,393","26,767","26,966"
"12","    Russian Federation","57,856","58,803","59,226","59,650","60,074","60,498","60,922","61,345","61,769","61,381","62,617","63,339","64,062","24,323","22,857","21,393","21,362","24,156","25,333","24,814","25,750","26,418","25,409","26,536","26,041","26,179"
"13","    India","59,400","61,004","62,651","64,341","66,079","67,864","69,696","70,717","71,754","71,344","73,872","74,955","76,053","20,016","21,031","21,905","22,027","21,853","22,749","22,191","23,339","24,140","23,104","24,934","24,889","25,892"
"14","    France","43,212","43,214","43,213","43,213","43,216","43,241","43,267","43,021","43,020","42,499","43,021","42,610","42,610","21,124","19,332","18,457","18,311","19,212","20,418","20,316","20,208","20,026","19,547","20,425","20,413","20,777"
"15","    United Kingdom","37,640","37,665","37,759","38,878","39,048","39,216","39,381","39,357","39,142","39,023","39,147","39,152","39,157","19,700","19,735","19,110","18,925","19,834","20,002","20,138","19,645","20,595","19,656","20,772","20,365","20,222"
