"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: July 2011 - September 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 10/30/2012","","","","","",""

"","","","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012"
"","","    Total Internet : Total Audience ","1,394,031","1,411,178","1,420,316","1,431,939","1,438,877","1,444,092","1,450,588","1,448,160","1,471,414","1,477,810","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929"
"1","[P]","    Google Sites","1,031,584","1,048,918","1,066,695","1,083,316","1,081,821","1,092,912","1,107,467","1,107,171","1,139,459","1,142,257","1,150,223","1,157,992","1,173,102","1,161,178","1,133,937"
"2","[P]","    Microsoft Sites","898,728","887,917","914,237","878,510","886,560","897,860","889,202","855,114","874,946","841,169","840,482","863,276","857,640","853,791","849,708"
"3","[P]","    FACEBOOK.COM","736,465","752,382","769,655","788,181","792,999","794,349","805,604","790,100","805,722","809,399","828,817","834,748","834,422","821,520","820,105"
"4","[P](u)","    Yahoo! Sites","673,798","686,311","701,378","702,712","707,537","702,031","706,276","688,394","712,066","697,754","698,974","694,477","679,619","698,651","715,742"
"5","[P]","    Wikimedia Foundation Sites","393,543","422,779","454,529","476,627","474,723","457,063","482,157","475,699","489,402","473,380","492,393","469,644","451,821","456,255","474,864"
"6","[P](u)","    Amazon Sites","288,766","302,455","319,548","338,444","350,769","366,199","368,190","353,548","361,472","347,640","348,139","342,898","349,307","352,400","362,129"
"7","[P]","    Apple Inc.","256,743","260,749","264,537","299,360","285,234","295,771","302,250","290,757","306,808","296,129","301,594","297,900","297,106","289,245","308,688"
"8","[P](u)","    Federated Media Publishing","93,714","96,838","100,738","102,452","281,185","279,312","273,076","232,100","275,790","267,104","277,017","278,570","263,871","270,287","280,125"
"9","[P](u)","    TENCENT Inc.","237,849","243,094","245,220","249,286","248,554","248,644","252,822","249,661","264,118","267,441","264,853","266,708","272,969","276,181","280,038"
"10","[P](u)","    CBS Interactive","217,962","226,901","242,571","244,382","238,148","245,870","259,109","253,798","270,398","249,467","247,019","245,461","249,047","255,418","270,247"
"11","[P]","    Baidu.com Inc.","225,898","231,609","237,997","243,226","241,368","246,108","250,655","252,933","262,638","259,294","258,963","265,875","268,978","273,986","268,810"
"12","[P](u)","    Glam Media","200,757","202,836","206,764","210,711","209,031","216,334","232,000","220,460","212,773","223,379","244,243","215,704","224,483","241,643","252,199"
"13","[P]","    Sohu.com Inc.","195,592","201,164","208,468","212,528","212,372","215,631","217,609","221,334","232,116","233,852","228,400","224,609","244,115","249,030","248,946"
