name,label,latitude,longitude,borderColor,highlightBorderColor,population,perc_population,connected,perc_connected,requests,requests_per_connected_person,perc_share_total,breakdown_by_country,viewfreq_per_country
World,W,44,-175,black,black,7390^M,100%,3248^M,44%,14389^M,4.4,100%,1:USA:US:N:324^M:4.4%:88%:3236^M:22.5%|2:JPN:Japan:N:127^M:1.7%:91%:1076^M:7.5%|3:DEU:Germany:N:82^M:1.1%:87%:947^M:6.6%|4:GBR:UK:N:65^M:0.9%:83%:742^M:5.2%|5:IND:India:S:1330^M:18.0%:35%:581^M:4.0%|6:RUS:Russia:N:147^M:2.0%:70%:578^M:4.0%|7:FRA:France:N:65^M:0.9%:80%:555^M:3.9%|8:ITA:Italy:N:61^M:0.8%:59%:509^M:3.5%|9:CAN:Canada:N:37^M:0.5%:81%:366^M:2.5%|10:IRN:Iran:S:79^M:1.1%:32%:339^M:2.4%|11:BRA:Brazil:S:207^M:2.8%:58%:300^M:2.1%|12:ESP:Spain:N:46^M:0.6%:79%:277^M:1.9%|13:POL:Poland:N:38^M:0.5%:63%:253^M:1.8%|14:MEX:Mexico:S:129^M:1.7%:49%:245^M:1.7%|15:AUS:Australia:N:24^M:0.3%:76%:231^M:1.6%|16:TWN:Taiwan:S:24^M:0.3%:79%:214^M:1.5%|17:NLD:Netherlands:N:17^M:0.2%:93%:200^M:1.4%|18:ARG:Argentina:S:44^M:0.6%:59%:154^M:1.1%|19:UKR:Ukraine:N:43^M:0.6%:44%:151^M:1.0%|20:PHL:Philippines:S:103^M:1.4%:43%:128^M:0.9%|21:IDN:Indonesia:S:261^M:3.5%:20%:125^M:0.9%|22:SWE:Sweden:N:9.9^M:0.1%:92%:124^M:0.9%|23:PAK:Pakistan:S:194^M:2.6%:18%:118^M:0.8%|24:CHN:China:S:1378^M:18.7%:52%:106^M:0.7%|25:CHE:Switzerland:N:8.3^M:0.1%:83%:99^M:0.7%|26:HKG:Hong Kong:S:7.3^M:0.10%:72%:99^M:0.7%|27:AUT:Austria:N:8.7^M:0.1%:76%:94^M:0.7%|28:BEL:Belgium:N:11^M:0.2%:76%:92^M:0.6%|29:COL:Colombia:S:49^M:0.7%:48%:91^M:0.6%|30:KOR:South Korea:N:51^M:0.7%:82%:91^M:0.6%|31:CZE:Czech Rep.:N:11^M:0.1%:74%:78^M:0.5%|32:THA:Thailand:S:66^M:0.9%:30%:78^M:0.5%|33:CHL:Chile:S:18^M:0.2%:63%:77^M:0.5%|34:ISR:Israel:S:8.6^M:0.1%:64%:76^M:0.5%|35:MYS:Malaysia:S:32^M:0.4%:63%:75^M:0.5%|36:FIN:Finland:N:5.5^M:0.07%:88%:75^M:0.5%|37:PER:Peru:S:31^M:0.4%:37%:71^M:0.5%|38:SGP:Singapore:S:5.5^M:0.07%:72%:64^M:0.4%|39:IRL:Ireland:N:4.8^M:0.06%:79%:63^M:0.4%|40:VNM:Vietnam:S:93^M:1.3%:44%:62^M:0.4%|41:VEN:Venezuela:S:31^M:0.4%:50%:60^M:0.4%|42:ROU:Romania:N:20^M:0.3%:55%:58^M:0.4%|43:NOR:Norway:N:5.2^M:0.07%:92%:55^M:0.4%|44:GRC:Greece:N:11^M:0.1%:59%:53^M:0.4%|45:DNK:Denmark:N:5.7^M:0.08%:92%:53^M:0.4%|46:HUN:Hungary:N:9.8^M:0.1%:74%:51^M:0.4%|47:SAU:Saudi Arabia:S:31^M:0.4%:53%:50^M:0.3%|48:PRT:Portugal:N:10^M:0.1%:65%:46^M:0.3%|49:ZAF:South Africa:S:56^M:0.8%:43%:43^M:0.3%|50:NZL:New Zealand:N:4.7^M:0.06%:77%:43^M:0.3%|

Global North,GN,34,-175,black,black,1309^M,17.7%,1033^M,79%,10466^M,10,72.7%,1:USA:US:N:324^M:4.4%:88%:3236^M:22.5%|2:JPN:Japan:N:127^M:1.7%:91%:1076^M:7.5%|3:DEU:Germany:N:82^M:1.1%:87%:947^M:6.6%|4:GBR:UK:N:65^M:0.9%:83%:742^M:5.2%|5:RUS:Russia:N:147^M:2.0%:70%:578^M:4.0%|6:FRA:France:N:65^M:0.9%:80%:555^M:3.9%|7:ITA:Italy:N:61^M:0.8%:59%:509^M:3.5%|8:CAN:Canada:N:37^M:0.5%:81%:366^M:2.5%|9:ESP:Spain:N:46^M:0.6%:79%:277^M:1.9%|10:POL:Poland:N:38^M:0.5%:63%:253^M:1.8%|11:AUS:Australia:N:24^M:0.3%:76%:231^M:1.6%|12:NLD:Netherlands:N:17^M:0.2%:93%:200^M:1.4%|13:UKR:Ukraine:N:43^M:0.6%:44%:151^M:1.0%|14:SWE:Sweden:N:9.9^M:0.1%:92%:124^M:0.9%|15:CHE:Switzerland:N:8.3^M:0.1%:83%:99^M:0.7%|16:AUT:Austria:N:8.7^M:0.1%:76%:94^M:0.7%|17:BEL:Belgium:N:11^M:0.2%:76%:92^M:0.6%|18:KOR:South Korea:N:51^M:0.7%:82%:91^M:0.6%|19:CZE:Czech Rep.:N:11^M:0.1%:74%:78^M:0.5%|20:FIN:Finland:N:5.5^M:0.07%:88%:75^M:0.5%|21:IRL:Ireland:N:4.8^M:0.06%:79%:63^M:0.4%|22:ROU:Romania:N:20^M:0.3%:55%:58^M:0.4%|23:NOR:Norway:N:5.2^M:0.07%:92%:55^M:0.4%|24:GRC:Greece:N:11^M:0.1%:59%:53^M:0.4%|25:DNK:Denmark:N:5.7^M:0.08%:92%:53^M:0.4%|26:HUN:Hungary:N:9.8^M:0.1%:74%:51^M:0.4%|27:PRT:Portugal:N:10^M:0.1%:65%:46^M:0.3%|28:NZL:New Zealand:N:4.7^M:0.06%:77%:43^M:0.3%|29:SRB:Rep. of Serbia:N:7.1^M:0.10%:72%:36^M:0.3%|30:BGR:Bulgaria:N:7.2^M:0.10%:52%:34^M:0.2%|31:BLR:Belarus:N:9.5^M:0.1%:55%:33^M:0.2%|32:HRV:Croatia:N:4.2^M:0.06%:71%:28^M:0.2%|33:SVK:Slovakia:N:5.4^M:0.07%:79%:22^M:0.2%|34:SVN:Slovenia:N:2.1^M:0.03%:70%:16^M:0.1%|35:LTU:Lithuania:N:2.9^M:0.04%:84%:14^M:0.10%|36:EST:Estonia:N:1.3^M:0.02%:77%:13^M:0.09%|37:BIH:Bosnia:N:3.5^M:0.05%:79%:12^M:0.08%|38:LVA:Latvia:N:2.0^M:0.03%:84%:11^M:0.08%|39:ALB:Albania:N:2.9^M:0.04%:63%:7.9^M:0.06%|40:MKD:Macedonia:N:2.1^M:0.03%:71%:6.8^M:0.05%|41:LUX:Luxembourg:N:576^K:0.008%:84%:6.8^M:0.05%|42:MDA:Moldova:N:3.6^M:0.05%:50%:6.7^M:0.05%|43:CYP:Cyprus:N:847^K:0.01%:89%:4.4^M:0.03%|44:MLT:Malta:N:429^K:0.006%:66%:3.9^M:0.03%|45:ISL:Iceland:N:336^K:0.005%:91%:3.8^M:0.03%|46:MNE:Montenegro:N:622^K:0.008%:60%:3.0^M:0.02%|47:BHS:Bahamas:N:378^K:0.005%:0%:1.4^M:0.009%|48:IMN:Isle of Man:N:84^K:0.001%:0%:887^K:0.006%|49:JEY:Jersey:N:103^K:0.001%:38%:864^K:0.006%|50:GGY:Guernsey:N:63^K:0.0009%:0%:588^K:0.004%

Global South,GS,34,-157,black,black,6069^M,82.1%,2215^M,36%,3893^M,2,27.1%,1:IND:India:S:1330^M:18.0%:35%:581^M:4.0%|2:IRN:Iran:S:79^M:1.1%:32%:339^M:2.4%|3:BRA:Brazil:S:207^M:2.8%:58%:300^M:2.1%|4:MEX:Mexico:S:129^M:1.7%:49%:245^M:1.7%|5:TWN:Taiwan:S:24^M:0.3%:79%:214^M:1.5%|6:ARG:Argentina:S:44^M:0.6%:59%:154^M:1.1%|7:PHL:Philippines:S:103^M:1.4%:43%:128^M:0.9%|8:IDN:Indonesia:S:261^M:3.5%:20%:125^M:0.9%|9:PAK:Pakistan:S:194^M:2.6%:18%:118^M:0.8%|10:CHN:China:S:1378^M:18.7%:52%:106^M:0.7%|11:HKG:Hong Kong:S:7.3^M:0.10%:72%:99^M:0.7%|12:COL:Colombia:S:49^M:0.7%:48%:91^M:0.6%|13:THA:Thailand:S:66^M:0.9%:30%:78^M:0.5%|14:CHL:Chile:S:18^M:0.2%:63%:77^M:0.5%|15:ISR:Israel:S:8.6^M:0.1%:64%:76^M:0.5%|16:MYS:Malaysia:S:32^M:0.4%:63%:75^M:0.5%|17:PER:Peru:S:31^M:0.4%:37%:71^M:0.5%|18:SGP:Singapore:S:5.5^M:0.07%:72%:64^M:0.4%|19:VNM:Vietnam:S:93^M:1.3%:44%:62^M:0.4%|20:VEN:Venezuela:S:31^M:0.4%:50%:60^M:0.4%|21:SAU:Saudi Arabia:S:31^M:0.4%:53%:50^M:0.3%|22:ZAF:South Africa:S:56^M:0.8%:43%:43^M:0.3%|23:ECU:Ecuador:S:17^M:0.2%:38%:39^M:0.3%|24:NGA:Nigeria:S:187^M:2.5%:46%:37^M:0.3%|25:EGY:Egypt:S:91^M:1.2%:46%:36^M:0.2%|26:KAZ:Kazakhstan:S:18^M:0.2%:54%:35^M:0.2%|27:ARE:UAE:S:9.9^M:0.1%:49%:34^M:0.2%|28:MAR:Morocco:S:34^M:0.5%:54%:31^M:0.2%|29:DZA:Algeria:S:40^M:0.5%:16%:27^M:0.2%|30:AGO:Angola:S:24^M:0.3%:15%:23^M:0.2%|31:BGD:Bangladesh:S:161^M:2.2%:39%:23^M:0.2%|32:DOM:Dominican Rep.:S:10^M:0.1%:47%:20^M:0.1%|33:BOL:Bolivia:S:11^M:0.1%:38%:18^M:0.1%|34:URY:Uruguay:S:3.5^M:0.05%:55%:18^M:0.1%|35:GTM:Guatemala:S:16^M:0.2%:18%:17^M:0.1%|36:AFG:Afghanistan:S:28^M:0.4%:7%:17^M:0.1%|37:KEN:Kenya:S:47^M:0.6%:36%:16^M:0.1%|38:CRI:Costa Rica:S:4.9^M:0.07%:44%:15^M:0.1%|39:PAN:Panama:S:3.8^M:0.05%:40%:14^M:0.10%|40:AZE:Azerbaijan:S:9.8^M:0.1%:58%:14^M:0.10%|41:IRQ:Iraq:S:38^M:0.5%:8%:13^M:0.09%|42:LKA:Sri Lanka:S:21^M:0.3%:23%:12^M:0.09%|43:GEO:Georgia:S:3.7^M:0.05%:49%:12^M:0.09%|44:TUN:Tunisia:S:11^M:0.2%:43%:11^M:0.08%|45:PRY:Paraguay:S:6.9^M:0.09%:36%:11^M:0.08%|46:SLV:El Salvador:S:6.5^M:0.09%:22%:10^M:0.07%|47:KWT:Kuwait:S:4.2^M:0.06%:49%:9.9^M:0.07%|48:HND:Honduras:S:8.7^M:0.1%:17%:9.0^M:0.06%|49:JOR:Jordan:S:9.7^M:0.1%:30%:8.8^M:0.06%|50:NPL:Nepal:S:28^M:0.4%:38%:8.2^M:0.06%

North America,NA,49,-104,black,blue,490^M,6.6%,380^M,77%,3850^M,10,26.8%,1:USA:US:N:324^M:4.4%:88%:3236^M:22.5%|2:CAN:Canada:N:37^M:0.5%:81%:366^M:2.5%|3:MEX:Mexico:S:129^M:1.7%:49%:245^M:1.7%|4:BHS:Bahamas:N:378^K:0.005%:0%:1.4^M:0.009%|5:BMU:Bermuda:N:62^K:0.0008%:107%:440^K:0.003%

Central America,CA,12.6,-88,black,black,88^M,1.2%,24^M,27%,116^M,5,0.8%,1:DOM:Dominican Rep.:S:10^M:0.1%:47%:20^M:0.1%|2:GTM:Guatemala:S:16^M:0.2%:18%:17^M:0.1%|3:CRI:Costa Rica:S:4.9^M:0.07%:44%:15^M:0.1%|4:PAN:Panama:S:3.8^M:0.05%:40%:14^M:0.10%|5:SLV:El Salvador:S:6.5^M:0.09%:22%:10^M:0.07%|6:HND:Honduras:S:8.7^M:0.1%:17%:9.0^M:0.06%|7:PRI:Puerto Rico:S:3.5^M:0.05%:78%:8.1^M:0.06%|8:NIC:Nicaragua:S:6.3^M:0.08%:14%:5.8^M:0.04%|9:JAM:Jamaica:S:2.7^M:0.04%:40%:4.3^M:0.03%|10:TTO:Trinidad and Tobago:S:1.3^M:0.02%:58%:4.1^M:0.03%|11:HTI:Haiti:S:11^M:0.1%:9%:2.7^M:0.02%|12:CUB:Cuba:S:11^M:0.2%:25%:1.6^M:0.01%|13:GLP:Guadeloupe:S:400^K:0.005%:0%:1.2^M:0.008%|14:LCA:Saint Lucia:S:186^K:0.003%:31%:447^K:0.003%|15:BLZ:Belize:S:376^K:0.005%:28%:440^K:0.003%|16:CYM:Cayman Islands:S:60^K:0.0008%:66%:433^K:0.003%|17:ATG:Antigua and Barbuda:S:86^K:0.001%:66%:423^K:0.003%|18:VIR:Virgin Islands, US:S:106^K:0.001%:32%:311^K:0.002%|19:GRD:Grenada:S:103^K:0.001%:37%:233^K:0.002%|20:DMA:Dominica:S:71^K:0.0010%:61%:226^K:0.002%|21:VCT:Saint Vincent and the Grenadines:S:110^K:0.001%:49%:201^K:0.001%|22:KNA:Saint Kitts and Nevis:S:46^K:0.0006%:89%:187^K:0.001%|23:TCA:Turks and Caicos Islands:S:31^K:0.0004%:0%:134^K:0.0009%|24:VGB:Virgin Islands, UK:S:29^K:0.0004%:51%:106^K:0.0007%|25:AIA:Anguilla:S:13^K:0.0002%:76%:58^K:0.0004%

